"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35214","Direct Purchase Quote Creation","partscheck-repairer","2026-08-11","passed","2026-08-11","Quote Creation Flow","repairer\quoteCreation.spec.ts","",""
"","8598","Repairer sign in","repairer-setup","2026-08-11","passed","2026-08-11","","..\auth-setup\auth.repairer.setup.ts","",""
"","46979","Direct Purchase Order Quote Submission","partscheck-supplier","2026-08-11","passed","2026-08-11","Submit Quote Flow","supplier\submitQuote.supplier.spec.ts","",""
"","4757","Supplier Documents Verification - Normal Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","6455","Receive Items - Direct Purchase Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","7712","Cancel Items - Normal Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","4850","Supplier Documents Verification - Direct Purchase Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","6968","Items Credit Request - Direct Purchase Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","8645","Supplier sign in","supplier-setup","2026-08-11","passed","2026-08-11","","..\auth-setup\auth.supplier.setup.ts","",""
"","35324","Normal Quote Creation","partscheck-repairer","2026-08-11","passed","2026-08-11","Quote Creation Flow","repairer\quoteCreation.spec.ts","",""
"","6790","Receive Items - Normal Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","7873","Cancel Items - Direct Purchase Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","30729","Normal Quote Submission","partscheck-supplier","2026-08-11","passed","2026-08-11","Submit Quote Flow","supplier\submitQuote.supplier.spec.ts","",""
"","7162","Items Credit Request - Normal Quote","partscheck-repairer-partsorder","2026-08-11","passed","2026-08-11","Quoting Parts Orders","repairer\partsOrder.spec.ts","",""
"","27434","Price Check for Submit Quote - Normal Quote","partscheck-repairer-checkprice","2026-08-11","passed","2026-08-11","Check Price for Submit Quote","repairer\checkPrice.spec.ts","",""
